Timestamp;Actual_Consumption;Forecast_Value;Lower_Bound;Upper_Bound
2024-10-07 19:00:00;7830,397;7085,646;6949,104;7222,188
2024-10-07 20:00:00;7315,478;6800,873;6664,331;6937,415
2024-10-07 21:00:00;6688,287;6519,579;6383,037;6656,121
2024-10-07 22:00:00;6308,983;5691,697;5555,155;5828,239
2024-10-07 23:00:00;5809,522;5426,505;5289,963;5563,047
2024-10-08 00:00:00;5632,655;5597,587;5461,045;5734,129
2024-10-08 01:00:00;5404,614;5453,379;5316,837;5589,921
2024-10-08 02:00:00;5288,887;5054,284;4917,742;5190,826
2024-10-08 03:00:00;5242,423;5341,182;5204,640;5477,724
2024-10-08 04:00:00;5342,059;6041,126;5904,584;6177,668
2024-10-08 05:00:00;6017,213;7272,485;7135,943;7409,027
2024-10-08 06:00:00;7358,237;8210,834;8074,292;8347,376
2024-10-08 07:00:00;8100,221;8256,220;8119,678;8392,762
2024-10-08 08:00:00;8236,748;7915,722;7779,180;8052,264
2024-10-08 09:00:00;8049,751;7940,523;7803,981;8077,065
2024-10-08 10:00:00;7918,845;7843,042;7706,500;7979,584
2024-10-08 11:00:00;7792,502;7527,434;7390,892;7663,976
2024-10-08 12:00:00;7334,587;6980,618;6844,076;7117,160
2024-10-08 13:00:00;7092,311;6863,172;6726,630;6999,714
2024-10-08 14:00:00;7167,269;7522,191;7385,649;7658,733
2024-10-08 15:00:00;7418,613;7814,631;7678,089;7951,173
2024-10-08 16:00:00;7777,739;8111,287;7974,745;8247,829
2024-10-08 17:00:00;7904,893;7880,425;7743,883;8016,967
2024-10-08 18:00:00;8042,979;7789,520;7652,978;7926,062
2024-10-08 19:00:00;7774,165;7257,855;7121,313;7394,397
2024-10-08 20:00:00;7264,018;6752,372;6615,830;6888,914
2024-10-08 21:00:00;6683,588;6292,875;6156,333;6429,417
2024-10-08 22:00:00;6357,410;5792,566;5656,024;5929,108
2024-10-08 23:00:00;5930,446;5827,400;5690,858;5963,942
2024-10-09 00:00:00;5634,122;5428,984;5292,442;5565,526
2024-10-09 01:00:00;5335,424;5035,925;4899,383;5172,467
2024-10-09 02:00:00;5238,386;5132,665;4996,123;5269,207
2024-10-09 03:00:00;5176,540;5509,828;5373,286;5646,370
2024-10-09 04:00:00;5363,676;6000,438;5863,896;6136,980
2024-10-09 05:00:00;5969,408;6981,452;6844,910;7117,994
2024-10-09 06:00:00;7245,533;8083,045;7946,503;8219,587
2024-10-09 07:00:00;8075,669;8437,812;8301,270;8574,354
2024-10-09 08:00:00;8226,407;8035,218;7898,676;8171,760
2024-10-09 09:00:00;8059,139;7978,018;7841,476;8114,560
2024-10-09 10:00:00;7791,917;7567,259;7430,717;7703,801
2024-10-09 11:00:00;7548,655;7136,087;6999,545;7272,629
2024-10-09 12:00:00;7092,921;6886,391;6749,849;7022,933
2024-10-09 13:00:00;6846,907;6803,626;6667,084;6940,168
2024-10-09 14:00:00;6738,469;6816,177;6679,635;6952,719
2024-10-09 15:00:00;6932,878;7037,259;6900,717;7173,801
2024-10-09 16:00:00;7216,737;7600,849;7464,307;7737,391
2024-10-09 17:00:00;7626,064;8033,136;7896,594;8169,678
2024-10-09 18:00:00;7966,054;7916,109;7779,567;8052,651
2024-10-09 19:00:00;7773,151;7100,438;6963,896;7236,979
2024-10-09 20:00:00;7227,861;6567,759;6431,217;6704,301
2024-10-09 21:00:00;6654,855;6430,962;6294,420;6567,504
2024-10-09 22:00:00;6364,108;5990,003;5853,461;6126,545
2024-10-09 23:00:00;5888,629;5610,623;5474,081;5747,165
2024-10-10 00:00:00;5661,139;5348,579;5212,037;5485,121
2024-10-10 01:00:00;5422,979;5389,112;5252,570;5525,654
2024-10-10 02:00:00;5375,176;5455,773;5319,231;5592,315
2024-10-10 03:00:00;5250,951;5338,043;5201,501;5474,585
2024-10-10 04:00:00;5421,710;5923,010;5786,468;6059,552
2024-10-10 05:00:00;6011,760;7233,620;7097,078;7370,162
2024-10-10 06:00:00;7146,948;8027,758;7891,216;8164,300
2024-10-10 07:00:00;7895,774;8002,143;7865,601;8138,685
2024-10-10 08:00:00;8016,171;7706,501;7569,959;7843,043
2024-10-10 09:00:00;8049,340;8228,131;8091,589;8364,673
2024-10-10 10:00:00;8264,258;8530,805;8394,263;8667,347
2024-10-10 11:00:00;8217,522;7897,018;7760,476;8033,560
2024-10-10 12:00:00;8086,896;7855,576;7719,034;7992,118
2024-10-10 13:00:00;8306,306;8562,974;8426,432;8699,516
2024-10-10 14:00:00;8286,355;8483,000;8346,458;8619,542
2024-10-10 15:00:00;8128,278;7838,089;7701,547;7974,631
2024-10-10 16:00:00;8174,396;8250,463;8113,921;8387,005
2024-10-10 17:00:00;8266,854;8527,105;8390,563;8663,647
2024-10-10 18:00:00;8292,652;8005,792;7869,250;8142,334
2024-10-10 19:00:00;8021,655;7357,457;7220,915;7493,999
2024-10-10 20:00:00;7481,916;6988,185;6851,643;7124,727
2024-10-10 21:00:00;6864,999;6582,590;6446,048;6719,132
2024-10-10 22:00:00;6507,217;5918,278;5781,736;6054,820
2024-10-10 23:00:00;6055,058;5845,096;5708,554;5981,638
2024-10-11 00:00:00;5796,451;5631,245;5494,703;5767,787
2024-10-11 01:00:00;5512,296;5335,245;5198,703;5471,787
2024-10-11 02:00:00;5445,598;5314,418;5177,876;5450,960
2024-10-11 03:00:00;5389,801;5590,154;5453,612;5726,696
2024-10-11 04:00:00;5451,580;5980,136;5843,594;6116,678
2024-10-11 05:00:00;6086,461;7137,655;7001,113;7274,197
2024-10-11 06:00:00;7284,334;8167,298;8030,756;8303,841
2024-10-11 07:00:00;8005,488;8313,838;8177,296;8450,380
2024-10-11 08:00:00;8142,827;8014,371;7877,829;8150,913
2024-10-11 09:00:00;7873,995;7685,122;7548,580;7821,664
2024-10-11 10:00:00;7765,957;7552,534;7415,992;7689,076
2024-10-11 11:00:00;7532,658;7277,549;7141,007;7414,091
2024-10-11 12:00:00;7163,016;7112,849;6976,307;7249,391
2024-10-11 13:00:00;7004,909;6857,426;6720,884;6993,968
2024-10-11 14:00:00;6861,095;6715,671;6579,129;6852,213
2024-10-11 15:00:00;6864,944;6963,852;6827,310;7100,394
2024-10-11 16:00:00;7142,676;7642,266;7505,724;7778,808
2024-10-11 17:00:00;7538,039;7843,667;7707,125;7980,208
2024-10-11 18:00:00;7734,206;7411,422;7274,880;7547,964
2024-10-11 19:00:00;7500,313;6915,377;6778,835;7051,919
2024-10-11 20:00:00;7023,096;6570,167;6433,625;6706,709
2024-10-11 21:00:00;6451,677;6158,352;6021,810;6294,894
2024-10-11 22:00:00;6197,573;5721,988;5585,446;5858,530
2024-10-11 23:00:00;5777,086;5619,374;5482,832;5755,916
2024-10-12 00:00:00;5536,576;5267,987;5131,445;5404,529
2024-10-12 01:00:00;5256,469;5078,155;4941,613;5214,697
2024-10-12 02:00:00;5174,042;5159,956;5023,414;5296,498
2024-10-12 03:00:00;5050,564;5122,699;4986,157;5259,241
2024-10-12 04:00:00;5039,091;5191,900;5055,358;5328,442
2024-10-12 05:00:00;5333,893;5995,355;5858,813;6131,897
2024-10-12 06:00:00;5794,119;6210,252;6073,710;6346,794
2024-10-12 07:00:00;6228,139;6327,169;6190,627;6463,711
2024-10-12 08:00:00;6435,492;6430,205;6293,663;6566,747
2024-10-12 09:00:00;6381,002;6397,883;6261,341;6534,425
2024-10-12 10:00:00;6238,263;6000,773;5864,231;6137,315
2024-10-12 11:00:00;6087,846;5754,029;5617,487;5890,571
2024-10-12 12:00:00;5759,653;5677,865;5541,323;5814,407
2024-10-12 13:00:00;5585,699;5462,198;5325,656;5598,740
2024-10-12 14:00:00;5587,534;5759,426;5622,884;5895,968
2024-10-12 15:00:00;5702,753;6100,806;5964,264;6237,348
2024-10-12 16:00:00;5984,969;6325,296;6188,754;6461,838
2024-10-12 17:00:00;6452,090;6655,092;6518,550;6791,634
2024-10-12 18:00:00;6727,556;6697,386;6560,844;6833,928
2024-10-12 19:00:00;6552,111;6210,847;6074,305;6347,389
2024-10-12 20:00:00;6239,666;5790,365;5653,823;5926,907
2024-10-12 21:00:00;5877,948;5692,792;5556,250;5829,334
2024-10-12 22:00:00;5774,939;5498,010;5361,468;5634,552
2024-10-12 23:00:00;5365,899;5164,110;5027,568;5300,652
2024-10-13 00:00:00;5123,517;4754,501;4617,959;4891,043
2024-10-13 01:00:00;4896,955;4811,375;4674,833;4947,917
2024-10-13 02:00:00;4808,165;4817,613;4681,071;4954,155
2024-10-13 03:00:00;4658,973;4626,591;4490,049;4763,133
